id,source,target,label,strength,reason,evidence_points,last_seen
"e1","case-cy-1042","phone-44c1","shared phone","0.86","same phone hash","PH-44C1 appears across two cyber-fraud cases | Both incidents share evening reporting window | Locations are within the East/South-East corridor","2026-05-27"
"e2","case-cy-1177","phone-44c1","shared phone","0.84","same phone hash","Phone hash reused after first FIR | Shared phishing-link artifact family","2026-05-27"
"e3","case-cy-1042","bank-77ab","mule bank","0.9","same bank hash","BK-77AB receives masked UPI transfers | Pattern matches fake courier scam cluster","2026-05-27"
"e4","case-cy-1177","bank-77ab","mule bank","0.88","same bank hash","Bank hash repeats across complaints | Transfers concentrated within 48 hours","2026-05-27"
"e5","case-cy-1042","mo-upi","MO tag","0.82","same MO","Fake tracking link | UPI collection request | Remote support call","2026-05-27"
"e6","case-cy-1177","mo-upi","MO tag","0.8","same MO","UPI refund language repeated | Same complaint narrative fingerprint","2026-05-27"
"e7","case-th-8821","veh-22fd","vehicle hash","0.78","same vehicle hash","VH-22FD seen in two theft cluster records | Beat CCTV note marks matching two-wheeler color","2026-05-27"
"e8","case-th-9013","veh-22fd","vehicle hash","0.76","same vehicle hash","Vehicle hash appears in adjacent station cluster | Same 19:00-22:00 time window","2026-05-27"
"e9","case-th-8821","mo-market","MO tag","0.74","same MO","Transit pickpocket pattern | Market crowd distraction | Repeat location within 2.3 km","2026-05-27"
"e10","case-th-9013","mo-market","MO tag","0.73","same MO","Evening market window | Same escape route pattern","2026-05-27"
"e11","per-a91f","phone-44c1","subscriber link","0.71","subscriber association","Masked person hash linked to subscriber metadata | Requires authorised review before any field action","2026-05-27"
"e12","case-cy-1042","stn-whitefield","registered at","0.68","same station corridor","Whitefield tech corridor | High cyber-fraud density beat","2026-05-27"
"e13","case-cy-1177","stn-koramangala","registered at","0.65","same corridor","Koramangala mixed commercial zone | Linked digital MO","2026-05-27"
"e14","case-th-8821","stn-majestic","registered at","0.7","transit hub","Majestic transit node | Repeat market theft MO","2026-05-27"
"e15","case-th-9013","stn-majestic","registered at","0.69","transit hub","Same police station | Same patrol window","2026-05-27"
